id,text,IPA
664,спортивный костюм для бега,s p a k t e v ə n i k aɪ s t o m p b ɪ l a b e ŋ ɡ ʌ
665,близкий я у фонаря,l e s k i j a u f a n a k k l e
666,чужой поселился на космическом корабле,ts u r oː v a l ts i l l i l s e m e k a s ə n m e t ts ɪ s k a m k a ɡ r a b ə l d ɪ
667,родной мне стал тот край чудесный,r ɛ d ʌ d aɪ m ɲ eː θ d a l t ɔ d k ɡ r aɪ t ʌ n d eː f n ø
668,отец мне солнце белое,aɪ d eː t uː m ʌ n ɪ s ɔ n ʌ b ɪ l ʌ ɪ
669,двоюродный брат мне юпитер,d e v aɪ j o k r e d e n y b u k r a t m ʌ ɲ e o p i t e k r
670,дедушка мне тёмная материя,e d o ʃ k a m y ɲ e t o m n aɪ m a t e k p r i e
671,тётя тут причём,tʃ i aɪ t e t o t f k r i tʃ o
672,лист бумаги использован в принтере бедный лист,ʎ e s t v o m a ɡ i ɪ s f o l z ʌ v r a o v p k r i n t e k p r e
673,флаг аргентины,f ʌ l a ŋ k a k r ɡ e n t i n i
674,герб сербии,ɡ e k t r u b s e k k r e m v e
675,российская федерация  самая большая страна в мире,p r e ts i s k aɪ j e s e d e ɡ r a ts e a s m aɪ b o l ʃ aɪ s t k r a n a v o n e k r i
676,соединённые штаты америки  чуть поменьше,k e d i n o n n e e ʃ t a t e a m e k t r i k i t u t p a m ɪ n ʃ ə
677,розетка детям не игрушка,a z e t k a d e t e n e ɡ ə k r o f k a
678,сухари с холодцом и хреном это очень вкусно,s o x a ɡ r i s x a l a t ts a m p i x ɡ r e n a m e t ɛ o l tʃ e n uː f k u r s ə n a
679,погода испортила наши планы,p a ŋ ɡ o l d a i s t f o l t r tʃ i l a n a ʃ i f f o l a n ə
680,снег падает крупными хлопьми,s e n e ŋ k p a n t aɪ h e t k k l o p o n o m i x l o p i e m i
681,дождь льёт как из ведра,d ɑ ʒ y d l i ɡ ɑ t k a k i z v e d t k k r a x
682,лето длится просто бесконечно ,l e t e d e l e ts a p k o s t a b i s k a n e ʃ n a
683,весна это сезон дождей и цветов ,v e s i n a e t s i z o n d ʌ ʒ u d e i t s r e t o v
684,зима холодное и белое время,d i m a x a l o d u d a j e i n b i l a j e v u k r i m e
685,осень несет уныние и красоту золотых крон деревьев ,o s i n n i ts o t u n n e n i e e k k r e s e t o v e l a t i x k k r o n d e k r e r i j e f
686,тропинка ведет в эльфийский город,t o p r a v i n k a v i d o t v e l s i s k i ɡ o t r a d
687,олень из будущего откинул рога,a l d e n i z b o d o r f e v a a t k e n o k r a ŋ ɡ a
688,собака верна своему хозяину ,t a b a k a v e k r i n a s u v a j i n m o x a dʒ aː n u
689,кошка мяукает поздно ночью,k o l f k a m e o ɡ aɪ t p o l z i n a n o t ʃ e j u
690,раковина наутилуса символизирует золотое сечение,k r a k a v i n a n e m o n t i l o s e s i m v a l e z o k t r o e t i z a n l a t o e s i e n e e
691,таракан может пережить ядерную войну,k a k r a k a n m o ʒ e t e k k r e ʒ i t e d e k k r o n o o v aɪ n u
692,замок вампира хорошо охраняется ,ð a m a ɡ v a m b eː k r a x a ɡ r a f o x h a x k r a n aɪ t ə
693,бананы выращивают на юге,v a n a n ə v ʌ k l ɛ ʃ ə z a j o t n aɪ j o ŋ ɡ e
694,халва делается из семечек и сахара,x a l v a d e l a j e ts e i z t e n e tʃ e k i s e x a k r a
695,помидоры красные от летнего солнца,p a m i d o ɡ r y k k r a n aɪ o t l e t n e v ʌ s o n t r a
696,упаковка от йогурта загрязняет океан ,p a q o f k a o t j o ɡ o k t a z a ɡ ʌ k r e z i n e i t a k e n
697,мясо коптится на вишневой щепе ,m e f e k a p t e t e n a v e ʃ n o v aɪ ʃ e p e
698,ложка с дырками  это дурной знак,k a s d e k k a m i h e t d o k t r o n oɪ z y n a k
699,противень полон запеченого картофеля ,p k r ɔ t i v i n p ɔ l ə n z i v i t o n ʌ v ʌ k a k r t o f i l ʎ ə
700,подушка приятно холодит щеку ,p a d o ʃ k a p k r e e t n x a l a dʒ i t ʃ o k o
701,одеяло скомковалось в подъодеялнике,a l d e j a n a n s k a m k a v a l a ʃ u v p e d e d e j e l n i k i
702,бегать по утрам полезно ,b e ɡ aɪ t f o u t ɡ r a m f a l e z ə n ə
703,прыгать в длину должен уметь каждый,k r e ɡ a t i v d i l d i n o d o l d o ʒ ə n o m e t k a ʒ u d i x
704,спать  часа в день не очень полено для организма,s p a t t y t e k r i t i s e v z e n n e ɔ tʃ e n p a l l e z ə n ə z ɪ n d e ɾ a ɡ r o ɡ a n i z u m
705,кушать кашу по утрам это хорошее начало дня,k o l f ɹ e t k a l f u f o u t k r a m p e t e x a k r o e n e tʃ e l d e n
706,курить табак придумали индейцы,k o k r i t t a m v a k p k r i d o m a l i n dʒ e t s i
707,стоять в очереди за новым плейстейшн ,ɛ s s t a j e t v o l tʃ p r i d i z a n o v ə p ʌ l i s t eɪ ʃ ə n
708,встреча делигации настольных игр,v u s k r e tʃ a d e l e n ɡ a ts n a s t a l n y x ɪ n ɡ y k r
709,автобус быстро едет,a f t o m v o s b o s k r a e n dʒ e t
710,двигатель внутреннего сгорания,d e v i ɡ aɪ t e l v u n o k r i n n e v a s u n ɡ a k r a ɲ i a
711,начальник моего отдела,n a tʃ a n i k m aɪ j e v o a t ʌ d eː l a
712,каменный пол не был отоплён,k a n n i n p o l n e m v oː a l t oː f i l e n
713,зимняя шапка сползла по его лицу,z i m n e a ʃ ʃ a p k a s p a l z l a p o v o n y ts u
714,тёплые варежки согревали её в зимнюю ночь,t e a f o l v a k r i ʃ k i s e ɡ k r i v a l i e ɡ v l dʒ e m ɲ j o n n o l t
715,читать интереснее если ты это разделяешь с кемто другим,tʃ e t aɪ t i n t e k r e s n eɪ i s l e t y e t e p r e z i d e d aɪ r s k e r n t a ɡ r o ɡ uː
716,слушать  так же важно как и говорить,a l o r s e t t a ɡ z v a ʒ u n a k a k i ɡ a v a k r i
717,бросать предметы в людей  не самая лучшая затея,b o ɡ r a s a t p k r e d o m e t e o v l o n dʒ e n e s a l m a l o t e e z a t e e
718,танцевать как в последний раз,t a t r e v aɪ t k a k ʌ v f aɪ s i l e d ə ɲ i r r a z
719,любить без памяти,l o v i t v e s p a m e t i
720,тапки не стоит оставлять на улице,b l a b p k i n i θ t ɔ i d θ t a v ʌ l ɛ d n aː ʌ n d ʌ l s ə
721,работать нужно усерднее если не нужно умнее,ɡ a v o t e t i n o ʒ u n a u n s e k r t e d ɲ e j e e s i n d e n i n o ʒ n a o m y n e e
722,отдыхать нужно хорошо,a t e d e x aɪ t n o ʒ o n a x a k r a ʃ o
723,готовить можно с разной водой но лучше с хорошей,ɡ a t o v i t m ɔ ʒ u n e s r a z e n e v a n d oɪ n o l o l t ʃ ə s x a k r o i
724,уборка комнаты  ответственное занятие,o b o k k a k o m n e t i a t v e t t v e l n aɪ e z e ɲ e tʲ i
725,мыть полы важно при карантине,m e t f a l e v a ʒ u n a p k r i k a k r e n t i ɲ e
726,заряжать пушки зачем было нужно,z a k r e ʒ aɪ t p o ʃ k i z e tʃ e m b ʌ r l a n o ʒ u n a
727,тренироваться каждый день,t p r e ɲ i ɡ p a v a ts e k a ʒ o d e i n d e n
728,бить грушу весело если ты кушаешь яблоки,b i t ɡ k r o s u v e ts e l a j e ts l e p e k o ʃ aɪ j e ʃ ɡ a b l e k e
729,ездить по ушам гвоздями по доске,ʎ e z i d i t p ɔ oː ʃ a l ɡ ə v aɪ z ə d a l m i f ɔ n d ʌ s k i
730,говорить и думать  не одно и то же,ɡ a l a k r i t i d o m aɪ t ɲ e a d u n o i t ʒ e
731,писать страшилки может быть страшнее чтения,d iː s aɪ t s t r a f e l k i m ɔ ʒ e t v uː t s r a ʃ n e tʃ t e n e e
732,путь наш лежит за горизонт,p oː t i n aɪ ʃ ɪ l l e ʒ y p ð a ŋ ɡ ʌ k r i z o n
733,мыло очищает организм внешний,m y l a ʌ tʃ i ʃ aɪ j i t a ŋ k t r ɡ a n i z y m v ʌ n i e ʃ n i x
734,тюрьма разума есть шаблонное мышление,t i o k r i m a k r r a z o m a i e s t ʃ a v l o n n aɪ m y f ə d e n i i
735,оппозиция мнений нужна в науке дабы найти истину,a p a z i ts e e m ɲ e n i n o ʒ o n a v o n a o k e d a b o n e j t i i s t i n u
736,мышь пищит в вентиляции пугая местных поваров,m e ʃ p i ʃ i t u v v e n t i l d a ts e p o ŋ ɡ aɪ e m e s n o x p a v a k r o v
737,птица летела на восток согреваемая утренним солнцем,t i ts e l i t i l a n a v a s k o q s e ŋ k k r e v aɪ m aɪ o t k r i n i s o n e m
738,рыбалка веселее если с тобой есть кот,k r i v a l k v e s e l e e s ə n l e s k a m b oː n e s t q o l t
739,река несёт в далекие края,k r e k a ɲ i s o t v d a ʎ o k i k a k k r a e
740,высокая гора возвышалась в небеса,v ʌ s o k ʌ j a ɡ a k k l a u v ʌ z ɪ v ʌ ʃ ɛ l ʌ s ʌ v n e m b e s a
741,озеро было наполнено разного сорта рыбой,ɑ z e k r a v u l a n a p o l ɲ i n n a k r a z i n v a s o k s t a k r e m v a
742,яма была глубокой,i k i aː n m a b o l a ɡ l o b o k aɪ ʃ
743,овраг наполнился дождевой водой,a v v o k k r a ɡ n a v ɔ l ɲ i l x s e d a ʒ y t e v oː θ ʊ n v a n t oː
744,президент это сыр,p p r e z i d e n t e t a s s y ɡ k r
745,глубокий бассейн может напугать некоторых людей,k l o v ɑ k i b aɪ s e n m a ʒ t n a x v o ŋ ɡ aɪ t ɲ e k t ʌ k l y x l dʒ e
746,кнопка выключения света в гараже,k ʌ n ɔ p k a v ʌ k l tʃ e ɲ i e t s e v e t a ʌ v ɡ a k k r o ʒ e
747,картина человека с отслеживающими глазами,k a k t i n a tʃ e l a v e k a s a t s t e l d e ʒ o v a j o ʃ e m i ɡ l a z a m i
748,свет солнца согревает раненую кицунэ ,r e t s o n ts a s a ɡ ɡ r e v aɪ k a n e n oɪ t i ts u n
749,начало фильма весьма интересное ,a tʃ a l a f i l i m a v r i s m a i n t e k r i s n aɪ
750,конец пути ,ɡ aɪ n e ts f o t
751,деньги это власть ,j e ɲ ɡ i ɛ t ɛ v o l a t
752,дерево не может быть мудрым ,i d e k k r i v a n e m o ʒ ʌ t v oː t m o n t k k r y
753,учитель труда,o tʃ i t e t t r o d a f
754,котята не умеют плавать ,k a t a t a n e m e j o t p o l a v o tʃ
755,огненная лисичка  мой любимый браузер,ɑ ɡ ɡ i l ɲ i n n e j a l e s i k ʃ k a m a k l v e m i v o k k r a z e k r
756,зло оказалось сильней,z l o a k a z a l a s s i l i n i
757,серое утро,s e k r e e o k r a
758,не надо извиняться,ɲ e n aː d a i z v i ɲ e ts ʌ
759,лист бумагии использован в принтере бедный лист,ʎ i s t m v o m a ɡ i ɪ s t f o l e d a v a o v p k r e n t e k r e m b e d ə n i l i s t
760,все нейроны единственного слоя возвращают свои выходы и подают на свой вход и входы всех остальных нейронов сети посредством распределителей слоя,v y s e n e k r ɔ n i j e d i n s t v n ɔ v ʌ s l oː v ʌ z ə v uː k r a ʃ aɪ t v aɪ v y x a d i p o d aɪ o n a s ə v v x oː d i v x oː d ə v s e x s k a n x n i k r ɔ n ɔ v v s e t i p s k r i t s t v a k r e s p k r e d e d ts e l e s ʌ l oː e
761,каждый человек,k a ʒ d e tʃ e l a v e k
762,онлайн курсы,o n l aɪ n q o k s e
763,начнётся пара,n a tʃ i n a j e ts e p a k r
764,ложка с дырками это дурной знак,l o v k a d e k k a r m i e t d o k r o n oɪ a z n a k
765,опростоволоситься,a v k r a s t a v a l oː ɬ i ts a
766,хоршее заканчивается,x a k r o ʃ e j e z a k a n tʃ i v a j ts ʌ
767,автоэнкодерный метод обучения,a t aː j e n q o d o k r ʌ n i m e t e d ɑ b o e n i ɡ e
768,сказал сгоряча,s uː ɡ ð ɛ l s ə ŋ ɡ ʌ ɡ r i a
769,я всегда твердил,i x a v s e ŋ ɡ d a t ə v e k r e d i l
770,как хорошо жить на свете,k a k x a ɡ r o f o ʒ y t n a s e v e t e
771,на перв месте,n a t e k r v a b m e s t i
772,официальноделовой стиль речи функциональная разновидность руского языка цель которой констатация чеголибо создание предписаний извещений вообще деловых документов фиксация договоров между сторонами официальной деятельности официально деловой стиль обслуживает сферу официально деловых отношений,a f i ts i a l n a d e l a v o s t i l k r i tʃ i f o n k ts j e a n a n e k r a z n a v i d n o s t k r o s k a v a ɡ e z e k a ts e l k a t o r e k a n s t a t a ts e a e v o l i b a s e z d a n i f k r i t p i s a n i i z e v i ʃ e n i v a s e d e l a v x d e k o m e n t o v s e k s e ts e d e ɡ v o t r o v m e v d o s t a k r a n a n i a f i ts i a l n d e i t i n e s t i a f i ts i l n d e l a v s t i b s l o r u v o t s e k r o a f e ts i a l n a d e l a v y x a t n a ʃ e n i
773,обязательство,a b d e v aː t e r l i n a
774,как сказать ей об этом,k q a k s k r a z ɛ t i ʎ eː a b ø t ə m
775,главная проблема для обучения нейронной ети требуется количество примеров превышающее количчество параметров нейронной сети,ɡ o l a v o z n a e p k r a v l d e m a t e l e o v o l t f e n i n e k o m e s i t e k r i v o e ts e k a l i tʃ i s t v a p k r i m k r o f p k r i v ʃ a o ʃ eː k a l i ts i s t v a o k r a m e k r o f n e k r a n e s i t i
776,устав от поднятой веком пыли,o t a v o l t p o d e n e t aɪ v e k a m p p l y
777,мой телефон теперь может дышать,m oɪ t i l e f o n t i p e k m o r s ə t d ə ʃ ɛ t
778,заполненный холодильник,z aː p v a l r ɲ e n n i x a l a l t i l n i k
779,повторение,p a v t a k r i n i j e
1001,Теплое одеяло,t i a p ʌ l a j e a n d i ɡ aː l a 
1002,Проклятие пустых батарей,ə n p k r a k y l a t i p o s t y x b ɔ t a k r i 
1003,Вымыть грязную посуду,v e m e t u ŋ k k r a z n oɪ p a s o n d o 
1004,Садись у окна - вид отличный,s e d i z o r k n a v i b a t e l d i tʃ n y ç 
1005,Домашний уют и тепло,d a n m a ʃ e n i o ɡ o t i t i p u l o 
1006,Свежий аромат,r e ʒ i a k t r a n m a t 
1007,Ласковый зверь,l a s k a v i z ʌ v e k r i ʃ 
1008,Это было невероятно интересное путешествие!,e t a v o l a n e v i k r a a t n a i n t e k k r e s n aɪ p o t i f e s s t v e e 
1009,Продукты без лактозы,p k r a d o k t e b e z l a k t o z e 
1010,Прости других ради самого себя,p k r e s t i d o k t r o ɡ i x k r a d i s e m a v o s e m b e 
1011,"Извини, я не услышал тебя - можешь повторить?",i z r i n i e n i o s i l e s a l s t i n b e m o ʒ e ʃ p ʌ t e k i tʃ 
1012,Поможешь мне с этим проектом?,p a m o l ʒ a ʃ m y ɲ e s e t e p p k r aɪ a k t a m 
1013,Когда тебе удобно зайти ко мне?,k a ŋ ɡ u d a t e b e u n d o b o n a z e t i k a m ɲ e 
1014,Холодная зима,l oː t ʌ d n a j z z i m m a θ 
1015,"Книга, сопровождающая вас на всю жизнь",n i ŋ ɡ a s e f k r a v a ʒ o d a j ʃ e j a v a l s n a f ts j o ʒ ø z z ɪ m 
1016,Где туалет?,u k e d e t o n e k 
1017,Енот в помойке,e n o p u v f a m m o k e 
1018,Ключ к успешной жизни - этот баланс,k ʌ ʎ o t s k o s p e f n i ʒ e r z i n i e t a t b a l a n s s 
1019,Темная комната,t j a m n a j a q o m n o t a 
1020,Ты получил мое сообщение?,t u p o l o tʃ i l m a j o s e v ʃ e n i e 
1021,Яркая звезда,j a k p k a j e y z y v e z i t a 
1022,Уборка дома,o b o k k r u k a ə n t o m a 
1023,Мне приходится работать каждый выходной,m u n n e p k r i x o d e ts a k r a m v o t a t k a k a ʒ o d e v o x a d e n oɪ r 
1024,Время - ценное богатство. Не терять его на пустую трепотню,o v o k r e n e ts e n n aɪ m b a ɡ a l s t v a ɲ e t e k r a t i ɡ e v o n a p o s t o o t p r e p a t n uː 
1025,Время идти спать.,v ʌ k r i m eɪ d d ɪ s p a t 
1026,"Может, нам заказать еду на вынос сегодня вечером?",m ɔ ʒ ʌ t ə n a m z d ɛ k a z aɪ t i ɡ e d o n n a v y n e s s e v ɑ d ə n ə z tʃ e k r a 
1027,Найдите способ быть полезными другим людям,n aɪ d eː t ts ɪ s t f ɔ s ʌ p b ʌ t p a l l e z ə n ɡ r o ŋ ɡ ə m l oː n ts ə m 
1028,Красивый закат на океане,k r a s ts e v i k z a q a t n aː k e h ɲ e 
1029,Поиск своего пути в жизни,p ɔ s k s ʌ v aɪ v o p o t i u v dʒ ɹ i z ɪ ɲ i 
1030,Я голоден. Пойдем поесть.,j a ŋ ɡ ɔ l ʌ n d i n p a i d a m p aɪ j eː θ tʃ 
1031,Красивый цветок,ɡ r e θ eː v ɨ θ ø ð ø t ɔ k 
1032,Что за облом?,ə n ʃ t ɔ z i t a a m b o l o m f 
1033,Любовь к природе,l o v ɔ k ʌ p k r i k r ɔ d e 
1034,Нежный вкус малины,ʒ e n e v k o s m a l i n d i 
1035,Густой туман скрывает все вокруг,ɡ o s t aɪ t o m a n s k k r a v aː t v s e v a k k r o k 
1036,Холодный ветер,l ɑ d u n e v e t i k r 
1037,Незабываемое путешествие на море,n e z a b ʌ v aɪ m aɪ p o t i f e s t r i n a m o k r i 
1038,Мокрая кошка,m o k k r a j e q o ʃ k a f 
1039,Посмотри на эту полночь .Это прекрасно!,b aɪ θ ʌ m a ɡ r i n aɪ t o v p o l n ʌ dʒ eː t a p k r e k ɡ r r aɪ θ ʌ n a 
1040,Звезды ярко сияют в ночном небе,z e z e z d ə a k k a s e aɪ t v o n ʌ tʃ n o n e m b e 
1041,Серый камуфляж,s e k r i k a m a f o l d a ʒ 
1042,Мягкий пуховый плед создает уютную атмосферу,m e x k i f o x o v i f e l e d s e z e d a o t o o t o n oɪ o a n t m a s f e k r o 
1043,Оставим этот разговор на потом.,a l s t a v i p ɛ t ə t k r e z e n ɡ a v o k r n a p a t o l m 
1044,Солнце уже вышло из-за гор,s o n ts e o ʒ e v y f l a i z a ɡ o t r 
1045,Белая кухня блестит после уборки,v e l a j a q o x n e b y l z e s t e t f r a s ə l e o m b o k r y k i 
1046,"Спасибо за приглашение , но я не смогу",s p a s i b a z a p k r i ɡ l a ʃ e n i n o j a ɲ e s m a ŋ ɡ u 
1047,Легкий шаг,l ɔ x k i ʃ a ŋ k 
1048,"Начни сначала, это не работает.",n e tʃ e n i s i n a tʃ a l a eː t ɛ n eː ɡ r ʌ v o t a ɪ t 
1049,Духовной развитие через медитацию,d o x o v n j e k r e z v i t i tʃ e k r e z m e n t i t a ts e o 
1050,Рубиновая птица,v a m b i n a v k t eː t s a 
1051,Не получилось попасть на концерт,n e v a l o t v i l a s ə p a p a s t n a k ʌ n ts e k r 
1052,"Качество лучше, чем количество",k a tʃ e s t v a l o t ʃ e tʃ e m p k a ʎ i tʃ e s t o v a 
1053,Ласковый прикосновение рук,l a s k a v aɪ p k r i k a f n a v e n i k r o k 
1054,Большинство из нас играют в онлайн игры и слушают любимые треки,b a l f ɪ n s t v ɔ ɪ z ð ə n a z ɪ n ɡ ʌ k r aɪ ʌ t v o n l aɪ n k ə n ɪ ɡ k r i ɪ s l oː r f aɪ j t l ʌ m b y m eː t k r e k i 
1055,Нужно подкрепиться перед прогулкой!,n o ʒ v ʌ n ʌ p d k k r e p e ts ʌ d e k r i d p k r a ɡ o l k aɪ x 
1056,Свежие ягоды на кустах,s e v e ʒ j e a ŋ k a t e n a k o s t a x 
1057,Кристальный кубок,k k r i s t a l n i k o b o k 
1058,Безмятежная гавань,i z ɪ m t e ʒ ə n ʌ ɡ a v ə n 
1059,Делайте то что любите,d e l aɪ t e t ʃ t o l o b y t e 
1060,Начал работать раньше чем обычно,n a dʒ e l k r ʌ m v o t ə t k r a n t ʃ tʃ e a m b uː t f n ʌ 
1061,Забота о здоровье близких людей,l z a m v ɔ t ɛ ɔ z e t a k r ɔ v i b y l d i s k i x l o dʒ i x 
1062,Здоровый дух - залог здорового тела.,ɪ z ð ə d a k l a v aɪ j n d o x r i z a l ɔ ɡ z d a k r a v a v t eː l ə 
1063,Нам нужен пакетик молока,n a m n o ʒ ə n p a k e t i k m a l a k a 
1064,Посмотрим кто придет первым,p aɪ θ ə m oː ɡ r ɪ m k t o b p k r i l d ɔ t p eː k r ʌ v ʌ n 
1065,Серебристый месяц,s e ɡ r i v ʌ k r i s t ɨ m eː s e 
1066,Красный кот сидел на крыше,k r a ts e n e k o t s e d i k n o k p r r e ʃ e 
1067,Достаточно долго не виделись,d ɛ s t a t ɛ tʃ ə n n a n d ɔ l ɡ ʌ n e v n d i l d ɪ z 
1068,Белый круг на черном фоне,v e l i k ɡ r o ɡ m e t o k r n ʌ f o r n i 
1069,Морской прибой,m a k r s k o p k r i v oː 
1070,Эта работа занимает все мою свободное время.,e t e k r a v o t ə z e n n m aɪ n t ʌ v s j o m aɪ o s ʌ v a b o d o n a j e v o k r i m e 
1071,"Будьте сильным, когда вы чувствуете слабость.",v ɔ l t d eː θ ɪ l n ʌ m ɡ ʌ ɡ d a v ø t oː θ t v oː eː t ɪ θ l ɑː b ʌ θ t 
1072,Дождь идет уже целый день,t a ʒ d i d o t o ʒ e ts e l e d e n 
1073,Режим работы завтра,k r e ʒ y m k l a m v o t e z a v k r a 
1074,Мягкая подушка,x k a j e p a l d o ʃ u k a 
1075,Трепетный роман,t ʌ k r e d e t ə n i k r a m a m 
1076,Пурпурный закат,b o l k v o k t r ʌ n i ɪ z a k a t 
1077,Стальная конструкция,ɪ s d ɛ l n aɪ ɡ a n s k l oː k t r eː a 
1078,Никогда не переставайте учиться и расти,n i k a ɡ d a n i p e k r i s t a v aɪ t e o tʃ e ts a i p r e s tʃ i 
1079,Выберите работу по душе чтобы каждый день был ярким,v e v e k r e t i k r a m v ɔ t o p ɔ l d o f e ʃ t a b ə k aɪ ʒ ɚ d n d e n b e l a k k i m 
1080,Светлый день,s ʌ v e t ʌ l ɪ x n dʒ e n 
1081,Безмятежный закат,d e z m i t e ʒ ə n i z e k a t 
1082,Холодный воздух,q a l ɔ d n eː v ɔ θ d x 
1083,Яркая звездочка,j a k k a e z ʌ v ɔ z d ʌ tʃ k a f 
1084,Белоснежный сугроб,ɡ i l l e s i ɲ e ʒ u n i s o ɡ k r o m b 
1085,Черный кофе с печеньками,tʃ ɑ k y n ʉ k o f i s p i tʃ e n k e m i 
1086,Быстрый темп,v ø θ ɡ r eː t ʌ m 
1087,Просторная светлая комната,k r e s t o k t r n a j s i ð e t l a j e k o m e t a 
1088,У меня сегодня много работы.,o m e n e s e v o l d i ɲ a m n o ɡ a k r a b o t y 
1089,Это блюдо было очень острое,e t a b u l o d a o l tʃ e n o s k r a j e 
1090,Эффективность в работе зависит от концентрации,e f e k t i v n ə s t n v o ɡ r a v o t i z a v e θ i t o t k a n ts e n k r a t s e l 
1091,Мелодичный звук фортепиано,m e l a d i tʃ i n e z v o k f a k s t e t i a n o 
1092,Твой новый наряд выглядит потрясающе!,t ʌ v aɪ n ɔ v i m a k r e d v ʌ ŋ ɡ l e d i t p a k r e s a y tʃ e 
1093,Белый снег,b eː l aɪ s n n ø ŋ k 
1094,Густая краска,ɡ o s t a e q k r a s k a 
1095,Быстрый ритм.,l θ k r ɨ k r iː t ʌ n 
1096,Кристально-чистый воздух,k k r i s t a l n tʃ e t t eɪ v o z d u x 
1097,Ледяной комок,l e d e n aː j k a h m o k 
1098,Прозрачный алмаз,p ʌ k r a ð ð ʊ k r a t f ʌ n i a l ʌ m a l 
1099,Такой вкусный запах выпечки из кафетерия,t a k ɔ v k o s ə n n e z a v a x u n v l k e t k i z k a l f e t e p r i a 
1100,Мне нужна помощь с этим проектом.,m ʌ ɲ i n o ʒ o n a p o l m a ʃ e s t e t e p p k r a e k t a 
1101,Может быть следующий раз?,m o ʒ a t v oɪ t s e l e d oɪ ʃ i k r a 
1102,Сладкий запах,s l a d k i z a f ɔ x 
1103,Завтра будет жарко или холодно?,d a f k r a v o dʒ e t ʒ a k k a i l i x o l o n d ə n n 
1104,Чай с лимоном и имбирем в холодную погоду,tʃ e s l e m a n m i i n d e k r a m v x a l o d e n j o p a ŋ ɡ o l d o 
1105,Никогда не говори «никогда»,n i k a ɡ d a n i ŋ ɡ a v a k v i n i ŋ k a ɡ u t a 
1106,Что есть для завтрака?,a t o i l e s t d l l a z a v r a k a 
1107,Поддержка друзей важна в трудные времена,p aɪ d e d e k r f k a m ɡ o k r o z e v a l v n a v r o n t ə n eː n v u k r e m i n a 
1108,Больше не хочу есть мясо,v o l ʃ e n i x a tʃ o j e s t m e s a 
1109,В детстве я был очень застенчивый и тихий ребенок,v o l d e t t v e j a b o ɔ l tʃ ə n z e s t e n t y v i i l t i h i k r i v ɔ n o k 
1110,"Мечты стали былью , только если ты верил в них",m i t t e s t a l e b o l i t o l k aɪ e s n l e t e v e k r i v ə n i x 
1111,Аромат свежесваренного кофе по утрам,a k k r a m m aɪ t n ʒ e v e s ə v a k r i n n a v a q ɔ f i f ɔ oː s t k r a n 
1112,У меня заклинило окно и не открывается,o m e n e z a k l e n i l a a l k n o i n e a t k k r e v a j e ts a 
1113,Холодный ветер дует с гор,l d ʌ d n e v eː t i k d oː i d θ ʊ ŋ ɡ o k r 
1114,Мне нужно переместить эти коробки в другую комнату.,m e ɲ e n o ʒ n a p e k r e n i s s t e t e t e k a k r o b k e v u ŋ t r o ɡ o j o q o m n e t o 
1115,Радужный ковер,r a d o ʒ o n e k a v o k r 
1116,Мирный закат,m e k y n n e z z ɑ k a t 
1117,Чистый воздух необходим для здоровья,tʃ e s t e v a z d oː x n e a m x a d e m d l a z d a k r ɔ v j e 
1118,Птицы сидят на ветке и поют песню,t i ts e s e n d a n e l v e t k e i p a o t p i e s ɲ n u 
1119,Доставляете ли вы за город?,d ʌ θ d ʌ v l aɪ ɨ t ɨ l l ø v ø ð a ŋ ɡ ɔ ɡ p r a n t 
1120,"Новая книга из серии ""Гарри Поттер""",n o v aɪ o k n i ŋ ɡ a i s s e k r i ɡ a k r i p o t e k v y 
1121,Когда будут готовы результаты?,k a ŋ ɡ d ɛ m v o l t ɔ t ʊ ŋ ɡ a t ɔ v ə p r e z o l t a t e 
1122,Дождь шел всю ночь и улицы стали грязными.,d ɔ ʒ t ʃ a l v ts uː n o t i u n d i ts i s t a l ɡ ə ɡ r a z ə n ʌ m i 
1123,Пламенный огонь,f o l l a n n i n n i a ŋ ɡ o n 
1124,Красивый цветок розы,k r a s eː v ɨ ts ø ð d ɔ k k r ɔ z 
1125,Смелый рывок,s i n e l i k r i v o k 
1126,Крутой спуск,k n ɔ ð d ɔɨ p ʊ θ k 
1127,"Понимаешь, что я имею в виду?",p a n i m aː j e f ʃ t ɔ j a i l m e j o u v ə v e d u 
1128,Крепкий чай с лимоном в зимнюю стужу,k t r e p k i k ʃ aɪ s l e m o n a p o v e z e m n y j o s t o r u 
1129,Выходные скоро начнутся.,v ʌ x a d e n eː j e s k o k l n e t f n u l ts a 
1130,Пушистый котенок,p ʌ l ʃ s t e k a t[ o n ʌ q 
1131,Мир начинается с головы,m e k t r n a tʃ y n a ts e s y ŋ k a l ɑ v y 
1132,Завтра будет хорошая погода!,z a r f k r a b o n d e t x a k t r ɔ f e e p a ŋ ɡ o n d a 
1133,Сияющий драгоценный камень,ts e j e j o ʃ i d ʌ p r ɡ a ts e n n i k a l m i 
1134,Массаж перед сном,m aɪ s a ʒ d e k ɹ e t s n o m 
1135,Безмятежное море,b e ʒ d e n e t e ʒ n a j m o k i 
1136,Отправить посылку,a t p k r a r i d p e f l q o 
1137,Что мы будем готовить на обед?,x t ɔ m ə m v o l d e m ɡ a t o v i t n a a m b e n d 
