,text,IPA
405,Колотая рана,k r a d s ø
406,Колоть дрова,d ɪ f y n ɔ
407,Компьютер,n i d e r l a
408,Конкурс,v u l l a d i l l a t
409,Конца и края не видать,θ o
410,Концерт,n k o k r y s
411,Коньюктивит,k r aɪ z ə v oː d s t u v a
412,Кот мурлыкает,t e v o s k a
413,Который час,k r i ɡ l a s e j e j o n e s v e d a n i e
414,Красноречивый джентльмен,v ɪ l p i n p iː v ʌ
415,Красный от смущения,j a n i x e t r o f t a v a t
416,Кружка,p k r i n e s i m n e p a r v a m u s t a
417,Купить хле­б,n e r e ʒ o s u m e l s ɯ n d o
418,Лазурное море,k a n p e o t e k r
419,Лицо,t i l l e f o n
420,Ломаться,ʒ ʌ z ɪ ɪ s m ɪ k t
421,Любуясь ею,a v i d e l s ʌ n u n ɡ ʌ d t ʌ m ʌ j a x
422,Мама твоя,n e v e r o p k i tʃ i n d e s f a k o ts a
423,Манеж,p r eː s k
424,Машина,p e k r v aɪ p k r a v i l a
425,Меня зовут,e t o m v o z
426,Млекопитающие,r i d i n a j o t o m v i
427,Могу я заказать завтрак в комнату,j a s k i n o l k e m b e t i k t o k
428,Моделист,d o k r i s t e tʃ e s k i f o h o l d
429,Можете разбудить меня в 6 утра,ɪ z ð ə v i k k r i
430,"Можно меню, пожалуйста.",t ɹ uː
431,"Можно счет, пожалуйста",m a ʃ ø n ʌ
432,Мохнатая собака,p r i z e k r o v a t i v
433,Мошенник,f k o l k a m o ʒ u n a e t e t e k p e t
434,Мы бы хотели позавтракать,t i s e tʃ e j aː n t n a n o tʃ
435,Мятые страницы книги,e t n l ə v o l f
436,Наваждение,ɡ p a ts t a v i l tʃ aɪ n i k
437,Надо пропылесосить,v a d a n ʌ v i k k r aː e ts a
438,Надолго,i a t i v i n i n k aː v ʌ l o s
439,Накроет город с головой,a k ɔ j i t i b i d i l
440,Нам добавить ваше имя к номеру?,k r iː t
441,Не вижу смысла,p a eː x a l ø v k i n oː
442,Не можешь замолчать?,d aɪ t e n i ŋ k
443,Не согласен ни с кем,s ʌ n m i k r i s s
444,Недельный запой,m a n m a t v a j a
445,Неделя,v ʌ ts e m ʌ ŋ ɡ a z i n y z ʌ k k r t ʌ
446,Неисправимый,v s k o m n y ɡ e m e k r i a
447,Некий звук,m a l a k ɑ z e k o n tʃ i n l e s
448,Непорочное зачатие,e d e l y n e z a f o
449,Нет лекарства от глупости,k a ɲ i j o k t i v i t
450,Неудовлетворительный,k o t u m o k r i l i k a j e t
451,Ночная жизнь,i r aɪ n i m a ŋ ɡ o t e b e l d a k ʌ n a t
452,Облил водой русского,ɡ ʌ t e j e t ʌ ʃ
453,Обрюзгший жир,ɪ l z a v e k p r l f m ʌ ɲ e θ ʌ t a m v ʌ
454,Объездная дорога,ɡ l a z i k t r ɑ v ʌ n y s e k r o k
455,Огурец,tʃ e t a j o k y l n i ŋ ɡ o
456,Оживлённое движение по аллее,i s a k a l ʒ e m p i ts u
457,Он бы принёс мне этот королевский дар,n a d ʌ v k r ʌ p ʌ d ɪ s oː ɪ t
458,"Он сказал, что я буду выступать перед детьми",p a m o p a s u n d u
459,Онлайн курс,v a x t a
460,"Остановите, пожалуйста, здесь",n a θ r ɹ aː f u l l a t ɔ k
461,Открою глаза и распахну шторы,n e v ʌ k r ɔ t f n a j y z a tʃ aː t i
462,Отламывать,s ɛ k s
463,Отсебятина,z o v ʌ n a j a p a s t a
464,Официант на полставки,b oː t ʃ e s i l n v a
465,Пальто нараспашку,o n n a l s i j e ʃ o v e t f e k r
466,Парень,ɡ ə k r e b ɪ n
467,Певу­чая речь,v eː ð r a b ɡ l oː s ʌ v
468,Первое правило,k r ɛ ð ə n m ø θ t ɨ ð a n oː n
469,Переусердствовать,a v ʌ k r ʌ z ʌ k ʌ ʃ eɪ ʒ ʌ k r
470,Племянник,p a e t i l e t ə n i d ɑ ʒ y d
471,Поблизости,tʃ e s t e t e k p r i o l o k
472,Поверните налево,tʃ a s e t f u n t ʌ
473,Подарил попугая,p a v ʌ l i z a s t i
474,Подпишите мою петицию,n a k k r aː j a t u k ɔ k r a d s y n ɡ a l a v oː
475,Подступ,d ɨ d a ɡ aɪ ʌ k ɡ r ʌ ð ɬ ø v a ʌ
476,Поездка в другой город,k r eɪ ð ɪ n ɡ p k r aɪ z r ʌ d ø n ɪ ɬ
477,Поехали в кино,k a n ts aɪ k k r aː n e v e n d n ʌ
478,Полёт на воздушном шаре,ʌ k a ɡ ɨ x ʌ m ʌ ɡ r eː x
479,Получил монетку,a l t k k r ɔ o n ɡ l a z a i k r e s f a x n o t r ɔ k i
480,Помой посуду,a x m i t t e
481,Поплывём наперегонки,s e k t i ɡ l o v a t n e ts e n k r
482,Посещение зоопарка,p a s l a d ɛ r ʒ uː d j a
483,"Посидите еще минуту, а то вы снова упадете в обморок",ɲ e t i ɭ e k a k s t v a ɑ l t ʊ ŋ ɡ l o f ɑ s ts i
484,После дождя,i m o k r i s t a n t s a l a n i x
485,Починил кирку,n a n d a n v a v i t v e l f i m k n o m i k o
486,Поэт и летний дождь,t l a ɡ ʎ o v o l n i m b o l a v z ð e i m n a x
487,Презерватив,d o m a j o n a m p a k r a k k a s x a l d e ts a f o d a n m a m
488,Пригласи её на свидание,n e m ɔ ɡ ʌ f ʉ z ɛ m ʌ l d t ɛ
489,"Принеси мне, пожалуйста",v ʌ l a ɡ ʌ b k r ɨ j aː t ʌ n i x
490,Приятно познакомиться.,d a m n a tʃ a l f t v a u v ts e v o k r i n e m i n e ts a
491,Приятного аппетита,ʌ ɡ ɡ l ʌ ɡ a n i z ə m
492,Прогулка под звёздным небом,o n θ k a z a l f t o e b o d o v u t o p a t p e k p r i d e t m i
493,Продал телефон,a v ʌ θ r a k t ʌ n n ɪ
494,Производство,d e j t e r ə n ɛ θ t
495,Процесс,o n b y p k r i n o s s m ʌ n e e t a t k a k r a l e v s k i d a k r
496,Радость от встречи,p e s i d e d e j e s f e a m i n o t o a t o v a s s u n o v a u m p a n d o d e v o v m a k r a k
497,Разместить анонс,ʌ b ʌ l i l v a d oː k r o s k ʌ v a
498,Расположились на ночлег,a l o tʃ e l m a n e n t k o
499,Рецепт мяса по-французски,p k l a d a l t e l d e f o n
500,Решетка,p aɪ t r n i l k i r k k oː
501,Рожь по пояс,o s k r o j i l s e n a k r a m v o l t o
502,Румяный от мороза,a f e ts e a n t n a b o l s d a v k i
503,Сбыт,n ʌ ts ɪ n aɪ ʌ ɹ ɪ z ə n
504,Сверкающий на солнце снег,ʌ f p a l f l ʌ t t ʌ ʒ i
505,Свидание в ресторане,v k oː s ʌ n eɪ v o k r s s e θ n i t a n ɪ
506,Свиной шашлык,k r eː t ts eː v t ʊ m m eː θ p ɔ f t r a n t r oː s f iː
507,Секс,k a k d eː l k ɡ r a v a v aɪ ɔ m ø t r i
508,Семеро козлят,ɪ s ð i a l o n i s e ŋ ɡ ʊ n a l s e v e t a f o l k r a
509,Сколько можно это терпеть,m i e t e e s ɡ r a n i ts ɪ k ʌ l n e n d i
510,Смешно до слез,m a x u n aː d a j s a b ɑ k
511,Смирись,q a l o t d uː k r a v a
512,Сортировочный центр,o l a t e j a t k r aː n a
513,Сосновый бор,ð i n aɪ s f ʌ ʌ l ʉ k
514,Социологический,n aː v a b o k r ɯ
515,Спидометр,e s t k a v u t r o ɡ o ɡ o k r e n t
516,Спокойной ночи,s e ð e d a ɲ i v u k r i s t a k r a n i
517,Стилизовать,k r a ɡ o l k a p o n t ʌ z e v e r z i d n y m n e m b a
518,Страшное наследство деда,f a ʎ o t n a v a l z ə d o f ts ʌ m f ʃ a k r i
519,Субстрат,ʃ i n i z o p a k k a
520,Счастливо,o m a n p ʌ m u ŋ k k r e x tʃ e t i l i ə n n i
521,Там начальство всё время меняется,i s k r a ʃ i n aɪ j n e ts i l e t s t o v a d e n d a
522,Танец,r i r k k aɪ o ʃ i n e θ o n ts e s n n e ŋ k
523,Твоя любовь не была взаимной,l a z o k r n a j e m o k r i
524,Телефон,z e p u l l e s i n n i v e l i k a m p ɔ t
525,Теплоход,ɡ r a s e n a k k r e e v aɪ n dʒ e n t e n u m e n
526,Тишина,k oː p iː t x ʌ l e m p
527,Топленый,ɡ l a s p ʌ l ʌ ʒ v i d y z n e n n e t ʃ i l d e ŋ k
528,Трасса,v e k r i n e m ts e n a k k r a s ts e ʒ e t i
529,Ты такая красивая!,d e s j e d o i n e s u ɡ r o r z i j a n m i
530,Тысяча и одна ночь,n e s t ʌ ɡ ʌ ɭ ɑ s i n i s k e m
531,У вас есть бизнес-ланчи?,k r o m e n i o t m a k r o z a
532,У вас есть доставка?,k r aː s n i o t s ʌ m o ʃ e n ɲ i a
533,У мое­го дома,d a v o l n i k r e z u l t t a t a n
534,У нас еще вечер,ɡ r a d a s t ɑ d o v t k r eː tʃ i
535,Увидимся позже,v o l d e t ʃ e n i a x o l t aɪ x
536,Увлечение охотой,k r ɑ ʒ ʃ p a f ɑ e s s
537,Устроился на работу,k r o d v ʌ m e d aː l e x
538,Хочешь посмотреть сериал?,l o v e tʃ f k a i s e k r e v u k k r a
539,Час отсюда,m i s k a s ʌ n a l ʌ k o m
540,Чистосердечный,k a t a n i e s s u k a k r i
541,Чистый переулок,s e m e r f u n o d a ʃ i l ɑ s
542,Что вы посоветуете?,d ə r eː n aɪ s ɪ t ʊ m eː ts ɪ ts
543,Это база,e m i k l a k a z e l a t
544,Это любовь,d i a f o t r a k o
545,Это место свободно?,v i k r ʌ n o f ʃ y s ʌ n v ʌ d o m
546,Я видел сон где ты моя,b o e s i ʎ e r o
547,Я иду в университет,k r ʌ n n ʌ m p ts a v ɔ l z ʌ n ʌ
548,Я не могу тебя догнать,ɡ ʌ n z ʌ p s ʊ ŋ ɡ ʌ ɡ r ɪ t ʌ
549,Я не хочу вставать,p k r aɪ z ɪ n n oː s ɡ k l o m x k a
550,Я поставил чайник,p a p ʌ l ʉ v n e t e k t i ŋ ɡ ʌ n k i h
551,Я скинул тебе тик-ток,b a l t o n e k l a θ f a f k o
552,Я тебе не нравлюсь?,ɡ a k r a u f t o n o j o
553,Пальто семицветное,t a v s e m i t ts ʌ v e t ʌ n aɪ ʌ
554,Куртка вылетела в окно и пролетела три квартала,o k s s t k a v e l e t i l a v a k o n o y p k l a l e t e l a k r i k o v a k t a l a
555,Принтер струйный,p k r i n t e ɡ r s k r oː n i x
556,Блок питания с емкими конденсаторами,v ʌ l ɔ k t i t a n i s ɔ m k i m i k ʌ n d ə n s ɛ t a k r a n m i
557,Тарелка из под тарталеток,d a k r i a l k a i s p o l t t a k t a l v i t a ŋ k
558,Банка нескафе с гвоздями,b a n k a n e s k a f e s ɡ r a z i d e m i
559,Какао-порошок несквик в молоке,aː v ʌ k r ɑ ʃ ɔ k n e s k ʌ r i k v y m ʌ l ʌ k e
560,Штопор сделал кувырок,t ɔ v a k r z i d e l ʌ l k o v ʌ k r o k
561,Книга была очень интересной,e ɲ i ɡ ʌ b ʌ l ʌ l tʃ ɪ n i n t e p r e s ə n n i
562,Автор книги любил курить трубку,a f t e k k a n e ŋ ɡ i l o v i l k o p r i t k k r o b q o
563,Издатель одобрил пакет Пятерочки,i z z i d aɪ t i l a n d o v u k r i p p a k e t f i t o k r e tʃ k i
564,Пакет летел сквозь улицу,ɡ eː t ʌ l d eː t eː l θ k oː v ɔ d oː n uː k ts oː
565,Телефон с откидывающимся дисплеем,l eː f ɔ t ʌ s a t k i d r aɪ s m s ɛ d ɪ s p ʌ l eː j ɪ n
566,Расчёска помогла прибрать волосы,r e s a s k a f a m ʌ ŋ ɡ l a v k r i v o k r a d v o l ʌ s i
567,"Салфетки влажные, спиртовые",s e l f e t ɡ i v o l a d ɹ ʌ d n s p i k t a v e e
568,Духи не знают усталости,d o x i n e z i n aː j o u s t a l a sʲ t i
569,Туалетная вода,ɑ l e t u d n a j a v a n d a
570,Лампа была цвета алебастра,a n p a m v ʌ l a t s v e t a a l e ɡ b a t ʃ k r
571,Наушники застряли на проводах,n a o s f u n n i k i z e s k r e a l d ə n a p k r a v a n d
572,Кейс от наушников,k eɪ s ʌ t n a o ʃ n i k ʌ v
573,Ручка вращалась как волчок,t r o tʃ k a v ʊ k k r aɪ f e l e ʃ k a k v o l t t o k
574,"Пенал открылся, и Петю поразило его ничего",v e n a a l t k ɡ r e ts e i p e t o p a r ɡ r a z i l a i v o n i tʃ i v o
575,Удлинитель тройной,t b
576,Очки с салфеткой,a ʃ ɡ iː s a l f eː d p eː
577,Кейс с очками,ɡ eː s ʌ tʃ k a ɪ
578,Часы с кукушкой,dʒ aː s e ts k o q o f k aɪ
579,Цепочка цикрониевая,ts e b o l t k a ts e k r k o n i v o e
580,Браслет золотой,n b o k k r a s s ɪ l e t ə n s a l l a t oː r
581,Кольцо серебряное,k a l ts ts a ts i p r e v u p r i n n e j e
582,Спрей от комаров,ɡ r eː ɔ d k a m a d ɡ r ɔ v
583,Зубная щетка,z o v b o d n a j a o t k a
584,Зарядка для часов,z k r e t k ʌ b i l d ʌ tʃ e ts oː f
585,Дезодорант без запаха,d e z e d a k r a n t v i z v e f a x a
586,Важная бумага,v a ʒ ə n a j a f b o m a ŋ ɡ a
587,Паспорт гражданина Российской Федерации,p a s p a k r u t ɡ k r a ʒ d e n i n a k r a ts i s k aɪ f e d e k t k r a ts e
588,Банковская карта,a t e l e t f y n eː n o v a ts t i
589,Пропуск в общажитие,p k r o p s k u v ʌ p ʃ e ʒ ʌ t i
590,Ключ от комнаты,l o tʃ a t k o m n a t e
591,Бутылка воды,b o t e n k a v a d i
592,Ватные палочки,v aː t i n e j p a l e tʃ k i
593,Антисептик этиловый ,d i s e p t i k e t i r l a v y
594,Мазь для лица,m a l z i d l a l e ts a
595,Спирт метиловый,ʌ s p eː k t m eː t iː l ʌ v ɨ
596,Зубная паста,ɡ e l t l aː m ʌ v a n i j a
597,Гель для умывания,ɡ e l b i l e m ʌ v a n i e
598,Игровой ноутбук,i ɡ k r a v oː n oː t b o k
599,Монитор ультраширокий,m a n i t o k r u l k r a f u f t r o k i
600,"Такси ""Такса""",d a k ts e t a k ʃ e
601,Крупные купюры,t r o m p o d n e j e k o m p r o k r i
602,Пачка денег ,a l tʃ k a d e n u ŋ k
603,Материнская плата утарела для новых процессоров,d e k r i n s t k aɪ j a p o l a t a u n s d e k r e l a b i l d a n oː v ɔ x p k r a ts e s e ɡ r a
604,Процессор лучше купить райзен,p r a t ts e s s e k n o t f e k u p i t d r aɪ z ə n
605,Оперативная память с низкими таймингами,a d v e k r a t i v o n aɪ a p a n ɪ t ts n e s k i n t aɪ m n ə iː ɡ a n i
606,Жесткий диск,r l a s t k aɪ d ɪ θ k
607,Кулер охлаждения центрального процессора,k o l d e k a l x o n l a ʒ u d e n i z i n k r a l n a v a p k r a t ts e s a k l a
608,Клей для обоев,k l e d l aː b o u f
609,"Чек из магазина длинный, как питон",tʃ e k i z m a ɡ a z i n a b i l d e n i k a k p e t o n
610,Строительный магазин,f k r a j i t e l e n i m a ŋ ɡ a z i
611,"Тостер сгорел, когда в нем поджарили воды",t ɔ s s t ɛ k ʃ ɪ n ɡ a k r i l k a l ɡ ə d a v ə ɲ ɔ m b aɪ d ə d ɛ k r i n l ɪ ʊ n v a l d
612,Заполненый холодильник,v ɑ l ɲ e n n i x a l a d i l n i k
613,Нож затупился о кости разъяренного медведя,n a l v i z a t o b i r s a o l ɡ o s s k i k l a z i e k r j o n n a v a n i d v e n t e
614,Школьная тема,k ɔ i n ʌ j a t e m ʌ
615,Тест по программированию,t e s s t p o b k r a ɡ k r a m i k r a v ʌ n j o
616,Социальная сеть,θ l v a j s i t
617,Социальная помощь,e ts e aː l n a j a p o m y ʃ
618,Прямая трансляция,k r e m aɪ j k r a n s ɪ n d a l t f e h eː
619,Может быть сходим в театр?,oː v e t ʌ v ʌ t x o d i m v t e aː k r r
620,Ты свободная в эти выходные?,d e s v a v ɔ d ə n ʌ j a v aɪ t i v ə x a n d ʌ n e j e
621,Как вы относитесь к этой ситуации?,k ʌ v t ʌ n oʊ s i t i s k aɪ t aɪ ts i t uː a t ts i
622,Почему ты опаздал?,m o t e a f a dʒ ə t a
623,Я заболел,v a b a l l i v
624,Хорошо погуляли,f o p a ɡ o l l a l i
625,Давай встретимся в последний раз,d a b aɪ v s k r eː d ɪ m s ɛ v p aɪ θ l e d ə n iː k r a z
626,Забитый гол,ɪ z d a v i t eɪ ŋ ɡ ɔ l
627,Голевая передача,ɡ a l e v aː a f e k k r e d a tʃ a
628,Красивый образ,k r a θ ɨ v ɨ ɔ b ʊ k k r ʌ n
629,Ты выглядишь стильно!,p e v ʌ ɡ l e d y s t t e l i n o
630,"Пошли домой, скоро приедут роллы",v aɪ f n l i d a m aɪ θ k ɔ k l o p k r i e t o t k r ɔ n l y
631,"Сегодня холодно, нужно одеваться потеплее",sʲ i v ɑ d i d ɲ e x o l a d i n a n o ʒ u n aː d e v a ts e p a t e p u n d e e
632,Смерть это необратимый финал нашей жизни,s y n e k r i t ɛ t e n e a v u k k r a t i l m i f i n ɑ n e f e ʒ e z ə n i
633,Сломанный инструмент,s ʌ l ɔ m ʌ n i i n s k r a n n i n
634,Грязная одежда,k r ɛ z ə n aɪ aː d ʌ z ʊ n t ʌ
635,Почему ты так холоден?,p aɪ k i m o t i t a k ɔ l e n dʒ i n
636,Сколько можно так делать?,s k ɔ l k a m o ʒ u n a t a k n dʒ e
637,"Прости, но я сегодня вертолёт",p k r a s t i n oɪ e s e v o r d ə n ə r y k t a ʎ o t
638,Токсичное общение,d a k s e l t i n a j e ɑ b y ʃ e n n i ʒ i
639,"Страна, где не заходит солнце",e s s k r a n a ɡ d e n e z e x o l d ɪ t s o n t ɪ
640,Рука с копьем,ɡ r o k aɪ θ k a t i o m
641,Нос с кольцом,n o θ ɡ a l t o
642,Нога с волосами,n a ɡ a s u v a l a s a m i
643,Без царя в голове,b e s t a k r a v u ŋ ɡ ʌ l a v e
644,Мозговой штурм,m aɪ ð ʉ k a v ɔ f t o k r u m
645,Рюкзак дюратканиевый,k r o k ð a k d o k k r a t k a ɲ e v i x
646,Штаны из денима,s t a n ə i z d e n i m ʌ
647,Поглаженная рубашка,p ʌ ɡ ʌ l ʌ ʒ ə n j ʌ k r o m v a f k ʌ
648,Кофта со стразами,k o f t a s e s k r a z e n n i
649,Футболка для футбола,d ʊ v ɔ l k a d i l e f o t ʊ v ɔ l a
650,Кровать без защитных реек,ɡ r a v a t b e z z ʌ ʃ e t ə n y x k r e j ɪ k
651,"Дверь открылась, а за ней стоял человек.",v ɡ r e t k k r i l ʌ s a z ʌ n ɪ s t aɪ ʌ t ʌ l e v ø k
652,Микроволновка волновалась перед волнами энергии.,n e k k k r a v a l n o f k a v e l n a v a l e s p e k t r i t v o l n a m i e n e t r ɡ e
653,Шкаф-купе парадоксально откинул дверцу.,f k a f k o p e p a p r a d a k ts j a l n e a l t k i n o d v i k k ts u
654,Полка была заставлена игрушками разного сорта.,p a l k a v o l a z e s t v i n ʌ ɪ n ɡ ə ɡ l o s k a m ɪ ɡ r a r z i n a v ʌ ts o t r t ə
655,"Стол полетел в окно, когда Петя проиграл этот раунд.",ʃ t a p a l e t e l v a k o n o k a ɡ d a t e t e p k r a j e n ɡ ʌ k r a e t e t k r r aː n t
656,Стул игровой не полетел.,s t o l ɪ n ɡ ʊ ɡ r a v oː n e p ʌ l l e t e
657,Стильные кроссовки,t i l n e k k r a s o v f k i
658,Носки для альпинизма,n e s k i d i l aː l ʃ t e n i z u m ʌ
659,Борщ с макаронами,v ɔ ɡ r i f s m a k a k k r o n e m i
660,Колбаса сырокопченая,k a l v a ts a s e k l a k a p t o n a j e
661,Столовая для студентов,k a l ɔ v a j n ɡ i l l ɛ s t y n d e n t a v
662,Кафе семейное,k a f e s i m m e ʎ i
663,"Кто ты, воин?",k t o t e v oː n
664,Где? Когда? Во сколько? ,ɡ e d e t a ɡ d a v a s k o l k a
665,Умный я у мамы,o n i ɡ aː h u m m a m y h
666,Здоровый я у папы,ð i d a k l a r v a j a u m f a t i
667,Толстый я у брата,d ɔ l s t i eː u n v o k r a t ʌ
668,Спортивный костюм для бега,s p a k t e v ə n i k aɪ s t o m p b ɪ l a b e ŋ ɡ ʌ
669,Близкий я у фонаря,l e s k i j a u f a n a k k l e
670,Чужой поселился на космическом корабле,ts u r oː v a l ts i l l i l s e m e k a s ə n m e t ts ɪ s k a m k a ɡ r a b ə l d ɪ
671,Родной мне стал тот край чудесный,r ɛ d ʌ d aɪ m ɲ eː θ d a l t ɔ d k ɡ r aɪ t ʌ n d eː f n ø
672,Отец мне солнце белое,aɪ d eː t uː m ʌ n ɪ s ɔ n ʌ b ɪ l ʌ ɪ
673,Двоюродный брат мне Юпитер,d e v aɪ j o k r e d e n y b u k r a t m ʌ ɲ e o p i t e k r
674,Дедушка мне тёмная материя,e d o ʃ k a m y ɲ e t o m n aɪ m a t e k p r i e
675,Тётя тут причём?,tʃ i aɪ t e t o t f k r i tʃ o
676,"Лист бумаги использован в принтере, бедный лист.",ʎ e s t v o m a ɡ i ɪ s f o l z ʌ v r a o v p k r i n t e k p r e
677,Флаг Аргентины,f ʌ l a ŋ k a k r ɡ e n t i n i
678,Герб Сербии,ɡ e k t r u b s e k k r e m v e
679,Российская Федерация - самая большая страна в мире.,p r e ts i s k aɪ j e s e d e ɡ r a ts e a s m aɪ b o l ʃ aɪ s t k r a n a v o n e k r i
680,Соединённые Штаты Америки - чуть поменьше.,k e d i n o n n e e ʃ t a t e a m e k t r i k i t u t p a m ɪ n ʃ ə
681,Розетка детям не игрушка,a z e t k a d e t e n e ɡ ə k r o f k a
682,Сухари с холодцом и хреном это очень вкусно,s o x a ɡ r i s x a l a t ts a m p i x ɡ r e n a m e t ɛ o l tʃ e n uː f k u r s ə n a
683,Погода испортила наши планы,p a ŋ ɡ o l d a i s t f o l t r tʃ i l a n a ʃ i f f o l a n ə
684,Снег падает крупными хлопьми,s e n e ŋ k p a n t aɪ h e t k k l o p o n o m i x l o p i e m i
685,"Дождь льёт, как из ведра",d ɑ ʒ y d l i ɡ ɑ t k a k i z v e d t k k r a x
686,Лето длится просто бесконечно ,l e t e d e l e ts a p k o s t a b i s k a n e ʃ n a
687,Весна это сезон дождей и цветов ,v e s i n a e t s i z o n d ʌ ʒ u d e i t s r e t o v
688,Зима холодное и белое время,d i m a x a l o d u d a j e i n b i l a j e v u k r i m e
689,Осень несет уныние и красоту золотых крон деревьев ,o s i n n i ts o t u n n e n i e e k k r e s e t o v e l a t i x k k r o n d e k r e r i j e f
690,Тропинка ведет в эльфийский город,t o p r a v i n k a v i d o t v e l s i s k i ɡ o t r a d
691,Олень из будущего откинул рога,a l d e n i z b o d o r f e v a a t k e n o k r a ŋ ɡ a
692,Собака верна своему хозяину ,t a b a k a v e k r i n a s u v a j i n m o x a dʒ aː n u
693,Кошка мяукает поздно ночью,k o l f k a m e o ɡ aɪ t p o l z i n a n o t ʃ e j u
694,Раковина наутилуса символизирует золотое сечение,k r a k a v i n a n e m o n t i l o s e s i m v a l e z o k t r o e t i z a n l a t o e s i e n e e
695,Таракан может пережить ядерную войну,k a k r a k a n m o ʒ e t e k k r e ʒ i t e d e k k r o n o o v aɪ n u
696,Замок вампира хорошо охраняется ,ð a m a ɡ v a m b eː k r a x a ɡ r a f o x h a x k r a n aɪ t ə
697,Бананы выращивают на юге,v a n a n ə v ʌ k l ɛ ʃ ə z a j o t n aɪ j o ŋ ɡ e
698,Халва делается из семечек и сахара,x a l v a d e l a j e ts e i z t e n e tʃ e k i s e x a k r a
699,Помидоры красные от летнего солнца,p a m i d o ɡ r y k k r a n aɪ o t l e t n e v ʌ s o n t r a
700,Упаковка от йогурта загрязняет океан ,p a q o f k a o t j o ɡ o k t a z a ɡ ʌ k r e z i n e i t a k e n
701,Мясо коптится на вишневой щепе ,m e f e k a p t e t e n a v e ʃ n o v aɪ ʃ e p e
702,Ложка с дырками - это дурной знак,k a s d e k k a m i h e t d o k t r o n oɪ z y n a k
703,Противень полон запеченого картофеля ,p k r ɔ t i v i n p ɔ l ə n z i v i t o n ʌ v ʌ k a k r t o f i l ʎ ə
704,Подушка приятно холодит щеку ,p a d o ʃ k a p k r e e t n x a l a dʒ i t ʃ o k o
705,Одеяло скомковалось в подъодеялнике,a l d e j a n a n s k a m k a v a l a ʃ u v p e d e d e j e l n i k i
706,Бегать по утрам полезно ,b e ɡ aɪ t f o u t ɡ r a m f a l e z ə n ə
707,Прыгать в длину должен уметь каждый,k r e ɡ a t i v d i l d i n o d o l d o ʒ ə n o m e t k a ʒ u d i x
708,Спать 4 часа в день не очень полено для организма,s p a t t y t e k r i t i s e v z e n n e ɔ tʃ e n p a l l e z ə n ə z ɪ n d e ɾ a ɡ r o ɡ a n i z u m
709,Кушать кашу по утрам это хорошее начало дня,k o l f ɹ e t k a l f u f o u t k r a m p e t e x a k r o e n e tʃ e l d e n
710,Курить табак придумали индейцы,k o k r i t t a m v a k p k r i d o m a l i n dʒ e t s i
711,Стоять в очереди за новым плейстейшн ,ɛ s s t a j e t v o l tʃ p r i d i z a n o v ə p ʌ l i s t eɪ ʃ ə n
712,Встреча делигации настольных игр,v u s k r e tʃ a d e l e n ɡ a ts n a s t a l n y x ɪ n ɡ y k r
713,Автобус быстро едет,a f t o m v o s b o s k r a e n dʒ e t
714,Двигатель внутреннего сгорания,d e v i ɡ aɪ t e l v u n o k r i n n e v a s u n ɡ a k r a ɲ i a
715,Начальник моего отдела,n a tʃ a n i k m aɪ j e v o a t ʌ d eː l a
716,Каменный пол не был отоплён,k a n n i n p o l n e m v oː a l t oː f i l e n
717,Зимняя шапка сползла по его лицу,z i m n e a ʃ ʃ a p k a s p a l z l a p o v o n y ts u
718,Тёплые варежки согревали её в зимнюю ночь,t e a f o l v a k r i ʃ k i s e ɡ k r i v a l i e ɡ v l dʒ e m ɲ j o n n o l t
719,"Читать интереснее, если ты это разделяешь с кем-то другим",tʃ e t aɪ t i n t e k r e s n eɪ i s l e t y e t e p r e z i d e d aɪ r s k e r n t a ɡ r o ɡ uː
720,"Слушать - так же важно, как и говорить",a l o r s e t t a ɡ z v a ʒ u n a k a k i ɡ a v a k r i
721,Бросать предметы в людей - не самая лучшая затея,b o ɡ r a s a t p k r e d o m e t e o v l o n dʒ e n e s a l m a l o t e e z a t e e
722,Танцевать как в последний раз,t a t r e v aɪ t k a k ʌ v f aɪ s i l e d ə ɲ i r r a z
723,Любить без памяти,l o v i t v e s p a m e t i
724,Тапки не стоит оставлять на улице,b l a b p k i n i θ t ɔ i d θ t a v ʌ l ɛ d n aː ʌ n d ʌ l s ə
725,"Работать нужно усерднее, если не нужно умнее",ɡ a v o t e t i n o ʒ u n a u n s e k r t e d ɲ e j e e s i n d e n i n o ʒ n a o m y n e e
726,Отдыхать нужно хорошо,a t e d e x aɪ t n o ʒ o n a x a k r a ʃ o
727,"Готовить можно с разной водой, но лучше с хорошей.",ɡ a t o v i t m ɔ ʒ u n e s r a z e n e v a n d oɪ n o l o l t ʃ ə s x a k r o i
728,Уборка комнаты - ответственное занятие,o b o k k a k o m n e t i a t v e t t v e l n aɪ e z e ɲ e tʲ i
729,Мыть полы важно при карантине,m e t f a l e v a ʒ u n a p k r i k a k r e n t i ɲ e
730,Заряжать пушки зачем было нужно?,z a k r e ʒ aɪ t p o ʃ k i z e tʃ e m b ʌ r l a n o ʒ u n a
731,Тренироваться каждый день,t p r e ɲ i ɡ p a v a ts e k a ʒ o d e i n d e n
732,"Бить грушу весело, если ты кушаешь яблоки.",b i t ɡ k r o s u v e ts e l a j e ts l e p e k o ʃ aɪ j e ʃ ɡ a b l e k e
